net,length_um
accumulator._0034_,213.62
accumulator.io_accOut\[2\],198.08
accumulator._0386_,188.92
accumulator._0074_,174.4
accumulator.io_accOut\[7\],170
accumulator._0147_,160.37
accumulator.io_accOut\[0\],156.95
accumulator._0383_,153.08
net56,151.56
accumulator.io_accOut\[6\],147.185
accumulator._0044_,146.06
accumulator.io_accOut\[1\],141.95
accumulator._0392_,138.345
accumulator.io_accOut\[5\],137.025
accumulator._0062_,135.76
accumulator._0118_,134.02
accumulator._0376_,131.69
scaleAdd._190_,131.3
accumulator._0576_,130.1
accumulator._0340_,129.96
accumulator.io_accOut\[10\],129.32
accumulator.io_accOut\[30\],128.2
scaleAdd._029_,127.98
accumulator._0511_,127.89
accumulator._0888_,127.78
accumulator._0047_,125.895
accumulator._1050_,124.3
accumulator._0563_,122.805
accumulator._1081_,120.14
accumulator._0816_,119.37
accumulator._1083_,119.08
accumulator._1093_,118.97
accumulator._0919_,118.59
scaleAdd._191_,118.46
net4,116.46
accumulator._0830_,116.36
accumulator.io_accOut\[21\],116.36
accumulator._0608_,116.21
accumulator.io_accOut\[23\],115.96
accumulator._0534_,115.44
net103,114.28
accumulator._0535_,112.66
accumulator._1090_,110.835
accumulator._0513_,110.545
accumulator._0947_,109.36
accumulator._1166_,109.305
accumulator._0378_,107.95
accumulator.io_accOut\[22\],107.79
scaleAdd._181_,107.59
accumulator._0918_,106.9
accumulator._0384_,106.22
accumulator._0883_,105.64
accumulator._0877_,105.08
clknet_2_0__leaf_clock,104.7
scaleAdd._106_,104.33
accumulator._0514_,103.925
accumulator._0554_,103.16
accumulator._0389_,102.62
accumulator._1065_,102.475
accumulator.io_accOut\[4\],102.32
accumulator._0874_,102.29
accumulator._0412_,102.17
accumulator._0442_,99.14
clknet_2_3__leaf_clock,98.84
accumulator._0856_,98.56
accumulator._0649_,98.34
accumulator._0536_,98.08
accumulator._0579_,98.06
accumulator._0704_,97.72
accumulator._0387_,97.5
accumulator._0914_,97.39
net26,97.36
accumulator._0462_,97.06
accumulator.io_accOut\[8\],95.66
accumulator.io_accOut\[26\],95.2
accumulator._0379_,94.52
accumulator._0158_,94.5
accumulator._0422_,94.46
scaleAdd._092_,93.8
accumulator._0473_,93.34
accumulator._0578_,93.1
accumulator._0381_,93.08
accumulator._1052_,91.56
net28,91.44
net31,91.16
net27,91.08
accumulator._0203_,91.075
net8,90.64
accumulator._0665_,90.36
accumulator._0546_,90.25
accumulator.io_accOut\[3\],89.96
net49,89.4
accumulator._0421_,89.26
accumulator._0105_,89
accumulator._0311_,88.12
accumulator.io_accOut\[24\],88.08
accumulator._1022_,88.02
net78,87.82
net29,87.5
accumulator._0410_,85.59
accumulator._0055_,85.18
accumulator._1121_,84.84
net54,83.92
net69,83.76
accumulator._0500_,83.68
accumulator._0539_,83.26
clknet_2_1__leaf_clock,83.1
accumulator._0498_,83.06
net25,82.76
accumulator._0551_,82.74
accumulator.io_accOut\[14\],82.2
accumulator._0060_,81.96
accumulator._0637_,81.96
accumulator._0571_,81.7
accumulator._0388_,81.62
net33,81.28
accumulator._0694_,81.24
accumulator._0787_,81.225
accumulator.io_accOut\[13\],81.1
net47,81.05
accumulator._0910_,81
accumulator._0457_,80.945
net50,80.59
accumulator._0533_,80.55
scaleAdd._207_,80.54
accumulator._0917_,80.49
accumulator._1171_,80.38
accumulator._0080_,80.23
accumulator._0348_,79.76
net34,79.74
scaleAdd._192_,79.68
accumulator._0490_,79.52
accumulator._0398_,79.46
accumulator._0859_,79.1
net36,78.96
net30,78.94
accumulator._0852_,78.82
accumulator._0041_,78.56
accumulator._0899_,78.22
accumulator._0114_,77.72
