net,length_um
accumulator._0041_,200.48
accumulator._0922_,179.66
accumulator._1148_,178.94
accumulator._0395_,176.36
accumulator._1196_,165.76
accumulator._0918_,158.96
accumulator._0079_,158.34
scaleAdd._312_,150.495
accumulator._0400_,150.13
accumulator._0036_,147.98
accumulator._0104_,145.9
accumulator._0406_,145.4
scaleAdd._330_,145.32
accumulator.io_accOut\[13\],144.61
accumulator._0523_,144.035
accumulator.io_accOut\[15\],143.1
scaleAdd._313_,141.93
accumulator._0715_,140.55
net23,139.94
operator.io_outMant\[1\],138.38
scaleAdd._318_,136.75
accumulator._0103_,135.49
accumulator._0398_,133.88
accumulator._0394_,133.55
accumulator.io_accOut\[12\],130.6
accumulator.io_accOut\[7\],130.5
accumulator._0475_,128.69
accumulator._0405_,127.86
net47,126
accumulator._0091_,125.51
accumulator._0543_,125.2
accumulator._0177_,124.46
net22,123.92
accumulator._0848_,123.54
net35,123
accumulator._0404_,121.45
accumulator._0118_,118.99
scaleAdd._216_,118.42
accumulator.io_accOut\[21\],117.88
accumulator._1147_,117.73
accumulator._1141_,116.68
accumulator._0919_,116.66
accumulator._0403_,115.78
accumulator._0111_,114.7
accumulator._0733_,114.475
accumulator._0921_,114.42
accumulator._0397_,113.64
scaleAdd._234_,112.5
accumulator._1137_,111.38
accumulator._0651_,110.24
accumulator._0501_,110.17
accumulator._0167_,109.02
accumulator.io_accOut\[20\],108.85
accumulator._0825_,107.68
operator.io_outMant\[0\],107.64
accumulator.io_accOut\[19\],107.12
scaleAdd._195_,106.44
net50,106.02
net29,104.74
accumulator._0414_,104.7
accumulator._0635_,104.33
accumulator.io_accOut\[3\],104.22
net33,103.76
accumulator._0469_,103.26
accumulator._0821_,103.04
accumulator._1111_,102.98
accumulator._0093_,102.66
accumulator._0923_,102.4
accumulator._0110_,102.12
accumulator.io_accOut\[11\],102.12
accumulator._0525_,102.06
net31,102.02
net8,102
net52,101.96
accumulator._0539_,101.36
accumulator._1036_,101.2
net13,100.515
scaleAdd._307_,99.64
accumulator._0559_,98.67
accumulator._0553_,98.56
accumulator._0430_,98.24
accumulator._0992_,98.16
accumulator._0035_,97.83
accumulator._1142_,97.82
accumulator._0812_,97.67
accumulator._0436_,97.28
accumulator._0086_,97.06
accumulator._1066_,96.8
accumulator._0061_,96.52
net46,96.2
accumulator._0498_,96.04
accumulator._0345_,95.96
accumulator._0868_,95.24
scaleAdd._337_,95.02
clock,94.41
accumulator._1149_,94.21
accumulator._1051_,93.66
net48,93.2
accumulator._1046_,93.11
accumulator.io_accOut\[30\],92.8
accumulator._0468_,92.54
accumulator._0599_,91.96
accumulator._1069_,91.72
accumulator._0497_,91.52
accumulator._0737_,91.46
scaleAdd._303_,91.22
accumulator._0089_,90.98
net16,90.56
accumulator._0080_,90.49
accumulator._0744_,89.74
accumulator._0886_,89.6
accumulator.io_accOut\[5\],89.06
accumulator._1113_,88.9
accumulator._0853_,88.38
accumulator.io_accOut\[9\],87.44
accumulator.io_accOut\[14\],87.02
accumulator.io_accOut\[16\],86.94
clknet_2_2__leaf_clock,86.88
accumulator._0881_,86.75
accumulator._0396_,86.39
accumulator._0476_,86.38
accumulator._0526_,86.18
accumulator._1180_,85.28
accumulator._0451_,85.155
accumulator._1076_,84.79
accumulator._0485_,84.52
scaleAdd._140_,84.415
accumulator._0611_,84.35
net44,84.32
accumulator._1181_,84.16
accumulator._1062_,84.12
accumulator._0072_,83.915
scaleAdd._319_,83.62
accumulator.io_accOut\[17\],83.38
accumulator._0852_,83.36
net36,83.16
accumulator._1132_,83.14
accumulator._0889_,82.92
accumulator._0803_,82.9
scaleAdd._308_,82.68
accumulator._0606_,82.2
accumulator._1028_,81.78
clknet_2_3__leaf_clock,81.07
accumulator._0169_,80.96
accumulator.io_accOut\[4\],80.86
accumulator._1099_,80.58
accumulator._0740_,80.195
accumulator._0905_,80.16
accumulator.io_accOut\[0\],79.94
scaleAdd._188_,79.505
accumulator._0605_,78.955
accumulator.io_accOut\[2\],78.86
accumulator._0432_,78.56
clknet_2_1__leaf_clock,78.42
net15,78.1
accumulator._0128_,77.94
accumulator._0431_,77.89
accumulator._0862_,76.94
accumulator.io_accOut\[18\],76.92
net24,76.86
accumulator._1022_,76.62
accumulator._1101_,76.6
accumulator._0709_,76.47
accumulator._0051_,76.45
net37,75.84
net30,75.3
accumulator._0439_,75
net28,74.9
accumulator._0428_,74.7
accumulator._0419_,74.34
accumulator._1038_,73.68
accumulator._0495_,72.9
accumulator._0421_,72.86
accumulator._0402_,72.84
accumulator._0587_,72.68
net27,72.66
accumulator._0610_,72.62
accumulator._0910_,72.465
accumulator._0834_,72.23
accumulator._0410_,71.805
accumulator._0592_,71.67
accumulator._1054_,71.34
clknet_2_0__leaf_clock,70.66
accumulator._0471_,70.56
accumulator._0536_,69.98
accumulator._0601_,69.23
accumulator._0427_,68.78
accumulator._0620_,68.38
scaleAdd._235_,68.3
operator.io_outMant\[2\],68.03
accumulator._0433_,67.6
accumulator._0751_,66.64
accumulator._0726_,65.68
accumulator._0878_,65.48
accumulator.io_accOut\[27\],64.85
accumulator._0558_,64.76
net53,64.26
accumulator.io_accOut\[22\],64.135
accumulator.io_accOut\[28\],63.62
scaleAdd._285_,63.62
accumulator._0263_,63.58
net49,62.88
accumulator._0453_,62.82
accumulator._0734_,62.54
accumulator._0399_,61.68
accumulator._0904_,61.44
accumulator.io_accOut\[24\],61.3
accumulator._0602_,61.18
accumulator._0619_,61.08
net25,61.08
accumulator.io_inExp\[1\],61.06
accumulator._0653_,60.63
accumulator._0424_,60.48
accumulator._0098_,59.86
accumulator.io_inMant\[13\],59.8
accumulator.io_accOut\[8\],59.69
operator.io_outMant\[3\],59.615
accumulator._1018_,59.32
accumulator._0416_,59.29
accumulator._1183_,58.7
net4,57.8
accumulator._0508_,57.72
accumulator._1015_,57.06
scaleAdd._082_,57.06
accumulator._0661_,57.05
accumulator.io_inExp\[5\],56.68
clknet_0_clock,56.36
accumulator._0598_,56.34
accumulator.io_accOut\[26\],55.86
accumulator._1083_,55.64
accumulator._0662_,55.58
accumulator._1085_,55.4
accumulator._0409_,55.32
accumulator.io_accOut\[29\],55.28
accumulator._0393_,54.76
accumulator._0392_,54.22
accumulator.io_accOut\[6\],54.11
net39,53.96
accumulator._0256_,53.89
accumulator._0711_,53.88
accumulator.io_accOut\[23\],53.83
net71,53.58
scaleAdd._350_,53.2
accumulator._0048_,53.13
accumulator._0667_,52.86
accumulator._0101_,52.84
scaleAdd._085_,52.84
net91,52.78
scaleAdd._227_,52.74
accumulator._1031_,52.66
net3,52.31
accumulator._0700_,52.28
accumulator._0773_,52.22
accumulator._1002_,52
accumulator._1072_,51.9
accumulator.io_accOut\[10\],51.4
accumulator._0435_,51.14
accumulator.io_accOut\[1\],51.12
accumulator._0149_,50.98
accumulator._0570_,50.44
accumulator._1010_,49.91
accumulator._0434_,49.78
net1,49.72
accumulator._0161_,49.32
accumulator._0478_,49.25
net76,49.22
accumulator._1024_,49.2
accumulator._0151_,49.16
scaleAdd._338_,49.14
accumulator._0880_,48.58
scaleAdd._317_,48.48
scaleAdd._025_,48.38
net92,48.36
