config,elA,elW,scale,prodMantW,pMax,pMinVal,intBits,belowAnchor,aboveAnchor,sopFieldW,scaleMantProdW,scaledTermW,finalAdderW
E4M3_E2M3_UE5M3,E4M3,E2M3,UE5M3,8,11,-12,12,12,14,27,8,35,44
E4M3_E2M3_UE4M4,E4M3,E2M3,UE4M4,8,11,-12,12,12,14,27,10,37,46
E4M3_E2M3_UE4M3,E4M3,E2M3,UE4M3,8,11,-12,12,12,14,27,8,35,44
E4M3_E2M1_UE8M0,E4M3,E2M1,UE8M0,6,11,-10,12,10,14,25,0,25,34
E4M3_E2M1_UE7M1,E4M3,E2M1,UE7M1,6,11,-10,12,10,14,25,4,29,38
E4M3_E2M1_UE6M2,E4M3,E2M1,UE6M2,6,11,-10,12,10,14,25,6,31,40
E4M3_E2M1_UE5M3,E4M3,E2M1,UE5M3,6,11,-10,12,10,14,25,8,33,42
E4M3_E2M1_UE4M4,E4M3,E2M1,UE4M4,6,11,-10,12,10,14,25,10,35,44
E4M3_E2M1_UE4M3,E4M3,E2M1,UE4M3,6,11,-10,12,10,14,25,8,33,42
E4M3_INT8_UE8M0,E4M3,INT8,UE8M0,12,10,-15,11,15,13,29,0,29,38
E4M3_INT8_UE7M1,E4M3,INT8,UE7M1,12,10,-15,11,15,13,29,4,33,42
E4M3_INT8_UE6M2,E4M3,INT8,UE6M2,12,10,-15,11,15,13,29,6,35,44
E4M3_INT8_UE5M3,E4M3,INT8,UE5M3,12,10,-15,11,15,13,29,8,37,46
E4M3_INT8_UE4M4,E4M3,INT8,UE4M4,12,10,-15,11,15,13,29,10,39,48
E4M3_INT8_UE4M3,E4M3,INT8,UE4M3,12,10,-15,11,15,13,29,8,37,46
E3M2_E3M2_UE8M0,E3M2,E3M2,UE8M0,6,9,-8,10,8,12,21,0,21,30
E3M2_E3M2_UE7M1,E3M2,E3M2,UE7M1,6,9,-8,10,8,12,21,4,25,34
E3M2_E3M2_UE6M2,E3M2,E3M2,UE6M2,6,9,-8,10,8,12,21,6,27,36
E3M2_E3M2_UE5M3,E3M2,E3M2,UE5M3,6,9,-8,10,8,12,21,8,29,38
E3M2_E3M2_UE4M4,E3M2,E3M2,UE4M4,6,9,-8,10,8,12,21,10,31,40
E3M2_E3M2_UE4M3,E3M2,E3M2,UE4M3,6,9,-8,10,8,12,21,8,29,38
E3M2_E2M3_UE8M0,E3M2,E2M3,UE8M0,7,7,-7,8,7,10,18,0,18,27
E3M2_E2M3_UE7M1,E3M2,E2M3,UE7M1,7,7,-7,8,7,10,18,4,22,31
E3M2_E2M3_UE6M2,E3M2,E2M3,UE6M2,7,7,-7,8,7,10,18,6,24,33
E3M2_E2M3_UE5M3,E3M2,E2M3,UE5M3,7,7,-7,8,7,10,18,8,26,35
E3M2_E2M3_UE4M4,E3M2,E2M3,UE4M4,7,7,-7,8,7,10,18,10,28,37
E3M2_E2M3_UE4M3,E3M2,E2M3,UE4M3,7,7,-7,8,7,10,18,8,26,35
E3M2_E2M1_UE8M0,E3M2,E2M1,UE8M0,5,7,-5,8,5,10,16,0,16,25
E3M2_E2M1_UE7M1,E3M2,E2M1,UE7M1,5,7,-5,8,5,10,16,4,20,29
E3M2_E2M1_UE6M2,E3M2,E2M1,UE6M2,5,7,-5,8,5,10,16,6,22,31
E3M2_E2M1_UE5M3,E3M2,E2M1,UE5M3,5,7,-5,8,5,10,16,8,24,33
E3M2_E2M1_UE4M4,E3M2,E2M1,UE4M4,5,7,-5,8,5,10,16,10,26,35
E3M2_E2M1_UE4M3,E3M2,E2M1,UE4M3,5,7,-5,8,5,10,16,8,24,33
E3M2_INT8_UE8M0,E3M2,INT8,UE8M0,11,6,-10,7,10,9,20,0,20,29
E3M2_INT8_UE7M1,E3M2,INT8,UE7M1,11,6,-10,7,10,9,20,4,24,33
E3M2_INT8_UE6M2,E3M2,INT8,UE6M2,11,6,-10,7,10,9,20,6,26,35
E3M2_INT8_UE5M3,E3M2,INT8,UE5M3,11,6,-10,7,10,9,20,8,28,37
E3M2_INT8_UE4M4,E3M2,INT8,UE4M4,11,6,-10,7,10,9,20,10,30,39
E3M2_INT8_UE4M3,E3M2,INT8,UE4M3,11,6,-10,7,10,9,20,8,28,37
E2M3_E2M3_UE8M0,E2M3,E2M3,UE8M0,8,5,-6,6,6,8,15,0,15,24
E2M3_E2M3_UE7M1,E2M3,E2M3,UE7M1,8,5,-6,6,6,8,15,4,19,28
E2M3_E2M3_UE6M2,E2M3,E2M3,UE6M2,8,5,-6,6,6,8,15,6,21,30
E2M3_E2M3_UE5M3,E2M3,E2M3,UE5M3,8,5,-6,6,6,8,15,8,23,32
E2M3_E2M3_UE4M4,E2M3,E2M3,UE4M4,8,5,-6,6,6,8,15,10,25,34
