net,length_um
net49,285
net48,281.12
_0135_,245.74
_0180_,243.58
_1322_,230.77
net47,217.65
net44,205.635
net22,205.485
net33,182.74
net23,178.86
_1093_,177.88
_0441_,168.3
_1091_,159.96
_0523_,158.7
_0136_,155.72
_1188_,155.7
_1105_,153.23
net25,147.71
_0426_,146.76
_0482_,141.865
_1077_,141.64
_0315_,140.3
net66,140.12
_1249_,135.96
net45,135.6
_0768_,134.98
_1044_,132.5
_0501_,131.52
_0778_,131.2
net34,130.94
_1487_,130.74
_1483_,129.84
net82,129.48
_1320_,128.24
net52,128.21
net50,127.575
_0505_,124.11
net28,123.88
_0792_,122.66
net26,122.62
net29,122.32
_1101_,122.15
net13,121.37
net35,120.27
net30,119.56
_1107_,117.895
_0439_,117.64
_1111_,117.22
_0144_,116.3
_1323_,116.22
net24,115.42
_0181_,114.51
net31,114.4
net51,112.68
net27,111.82
_1192_,111.365
_0762_,111.23
_1222_,110.44
_1098_,110.1
_1264_,110.05
_1174_,109.08
_0137_,108.92
_1108_,108.71
_1080_,108.69
_1476_,108.12
_1412_,107.08
net32,106.795
_0122_,106.79
_1069_,106.58
_0504_,105.92
_1068_,104.66
_1196_,104.655
_1268_,103.88
_1500_,102.48
_1361_,102.25
net53,102.16
_0468_,101.24
net36,100.77
_1076_,99.66
_0446_,98.96
net8,98.1
net46,97.96
_0199_,97.84
_0243_,97.43
clknet_2_1__leaf_clock,97.4
_0401_,97.12
_1193_,95.39
_1219_,94.68
_1195_,94.52
_1290_,94.32
_1270_,93.84
_1103_,93.44
_1271_,93.08
_0775_,91.98
clknet_2_0__leaf_clock,90.96
_0993_,90.86
_1170_,90.22
net37,90.12
_0372_,89.36
_1417_,88.96
_1109_,88.465
_0647_,87.98
_0190_,87.88
_1146_,86.96
_0233_,86.02
_1358_,85.8
_0784_,85.66
_1090_,85.51
_1430_,85.23
_1491_,84.6
_1297_,84.28
_0514_,84.115
_0543_,84.04
_0226_,83.06
_1180_,83.05
_0349_,83.035
net38,82.94
_1511_,82.46
_0320_,81.575
_0193_,81.34
_1262_,81.32
_0305_,81.24
_1187_,80.1
clknet_0_clock,79.89
net42,79.8
_0220_,79.28
_1247_,77.78
_0476_,77.45
_0215_,77.34
clock,77.28
net39,76.66
_0040_,76.56
_0210_,76.15
_1173_,76.04
_0035_,75.56
_1343_,75.18
_1102_,75.015
_1294_,73.8
_1176_,73.74
_0438_,72.84
_1021_,72.64
_1204_,72.64
_1126_,71.74
_0169_,71.68
_1218_,71.55
_1215_,71.38
_0458_,71.23
_0425_,70.96
_0763_,70.8
_1106_,70.78
_1225_,70.68
_0168_,70.64
clknet_2_2__leaf_clock,70.14
net4,69.72
_0991_,69.66
clknet_2_3__leaf_clock,69.52
_1248_,69.14
_1273_,68.97
_0133_,68.84
_0447_,68.66
_0475_,68.43
_1115_,68.32
_0785_,68.22
net43,68.04
_0419_,67.85
_0429_,67.54
_0376_,67.28
_1418_,66.89
_1166_,66.7
_1244_,66.28
_1238_,66.23
_1388_,65.78
_0308_,65.72
_1490_,65.66
_1540_,65.66
net3,65.64
_1269_,65.4
_0936_,64.88
_1056_,64.78
_1084_,64.6
_1078_,64.34
_1259_,64.24
_0311_,64.02
net68,63.98
_1144_,63.64
_1112_,63.56
_0150_,63.32
_1082_,63.04
_1441_,63.03
_1003_,63.02
_1481_,62.97
net41,62.9
_0363_,62.8
_1447_,62.73
_0961_,62.64
_0302_,62.36
_1231_,62.18
_0236_,62.12
_0279_,61.92
_0509_,61.88
_1207_,61.58
_1128_,61.565
_1185_,61.46
_0197_,61.24
_0374_,60.98
_0295_,60.86
_1536_,60.58
_1011_,59.86
_1127_,59.6
_1099_,59.54
net40,59.435
_0202_,59.18
_1266_,59.1
net2,58.93
_0456_,58.7
_0188_,58.57
_1147_,58.52
net10,57.98
_1096_,57.76
_0465_,57.55
_0352_,57.48
net57,56.595
_0554_,55.84
_0205_,55.58
net9,55.44
_1285_,55.42
_1319_,55.16
_1256_,54.9
_1295_,54.52
_1440_,53.96
_0286_,53.82
net6,53.58
_1292_,53.38
_1092_,53.14
_0092_,53.04
net5,53.04
_1504_,53
net7,52.52
_1502_,52.46
_1023_,52.24
_1406_,51.82
_1190_,51.78
_0208_,51.24
_1017_,51.04
net1,50.98
_1467_,50.96
_0807_,50.74
_1088_,50.54
_0319_,50.52
_0091_,50.5
_0490_,50.34
_1168_,50.32
_1224_,50.28
_0063_,50.26
_0586_,49.72
_1428_,49.6
_1141_,49.58
_0667_,49.46
_0565_,49.3
_1251_,49.26
_1377_,48.82
_1064_,48.74
_1482_,48.72
_0317_,48.52
_0332_,48.34
_1016_,48.12
_1024_,47.82
_1529_,47.7
_0323_,47.66
_0166_,47.58
_0149_,47.54
_0772_,47.54
_0539_,46.98
_0836_,46.7
_0467_,46.6
_0326_,46.18
_1426_,45.9
_1191_,45.58
_1260_,45.52
net55,45.215
_1132_,45.1
_1113_,45.06
net73,45.06
_0864_,45
_0969_,44.86
_1289_,44.7
_0968_,44.5
_1165_,44.5
_0451_,44.45
_1287_,44.24
_1214_,44.2
_1421_,43.98
_0823_,43.83
_0071_,43.5
_0533_,43.44
_1533_,43.42
_1305_,43.1
_1280_,42.98
net58,42.92
_1306_,42.84
_1508_,42.74
_0526_,42.46
_1046_,42.235
_0920_,42
_0731_,41.72
_0998_,41.72
_0573_,41.68
_0963_,41.44
_0716_,41.42
_0140_,40.7
_0534_,40.64
_0830_,40.54
_1228_,40.52
_0065_,40.48
_1497_,40.4
_0967_,40.34
_0450_,40.32
net15,40.28
_0508_,40.12
_1019_,40.1
_1206_,39.74
_1510_,39.66
_0477_,39.615
_1310_,39.35
_0313_,39.14
_1326_,39.14
_0074_,39.08
_1018_,39.06
_1465_,39.04
_0518_,38.98
_1097_,38.78
_1182_,38.78
_0516_,38.66
_1272_,38.44
_1425_,38.36
_0054_,38.16
_0436_,38.1
_0344_,37.9
_1424_,37.74
_0561_,37.68
_1086_,37.62
_0449_,37.59
_1008_,37.52
_0312_,37.42
_1175_,37.4
_1507_,37.4
_0337_,37.32
_0809_,37.18
_1488_,36.9
net79,36.6
_0084_,36.2
_0099_,36.02
_0851_,35.94
_0733_,35.92
_1043_,35.84
_1283_,35.56
_0498_,35.46
_1315_,35.44
_0527_,35.22
_0097_,35.16
_0155_,35.14
_0126_,34.84
_0559_,34.84
_0845_,34.76
_1386_,34.58
_1495_,34.46
_0581_,34.34
_0112_,34.18
_0366_,34.16
_0408_,34.02
_0531_,33.96
_0265_,33.765
_1336_,33.68
_0865_,33.54
_1302_,33.52
_0719_,33.48
net56,33.38
_0777_,33.16
_0947_,33.14
_0120_,33.1
_1230_,33
_1178_,32.96
_1186_,32.92
_1236_,32.86
_0496_,32.84
_1004_,32.78
_0146_,32.7
_0428_,32.5
_0622_,32.48
_0935_,32.36
_0297_,32.24
net16,32.2
_1282_,32.14
_0520_,32.02
_0525_,32
_0971_,32
_0558_,31.92
_1276_,31.92
_0471_,31.8
_1400_,31.7
_0478_,31.665
_0256_,31.66
_0346_,31.3
_1081_,31.28
_0699_,31.26
_1460_,31.26
_1243_,31.2
_0853_,31.16
_0549_,31.08
_0887_,31.07
_0600_,31
_0464_,30.96
_0825_,30.74
_1041_,30.74
_0261_,30.7
_1194_,30.52
_0085_,30.48
_1154_,30.38
_0495_,30.34
_1181_,30.34
_1133_,30.2
_0145_,30.06
_1462_,29.92
_0242_,29.86
_1255_,29.7
_0134_,29.58
_1374_,29.56
net91,29.5
_0036_,29.48
_1143_,29.44
net17,29.28
_0536_,29.2
_0037_,29.14
_0462_,29.1
_0267_,28.8
_0485_,28.7
net21,28.56
_0473_,28.55
_0580_,28.48
_0941_,28.48
_0043_,28.44
_1159_,28.44
_0791_,28.4
_0060_,28.24
_1399_,28.24
_1125_,28.22
_0174_,28.18
_0735_,28.16
_1349_,28.16
_0249_,28.08
_1452_,27.96
_1422_,27.88
_0079_,27.82
_0943_,27.82
_0954_,27.78
net18,27.78
_0058_,27.66
_1329_,27.62
_0148_,27.555
_0538_,27.48
_1432_,27.48
_0512_,27.44
_0069_,27.36
_0108_,27.16
_0334_,27.14
_0385_,27.04
_0077_,27.02
_1131_,26.96
