variant,baseline,arch,mul_a,mul_b,scale,vec_width,synth_freq_mhz,area_um2,submodule_areas,power_default_W,submodule_powers,critical_path_ns,max_freq_mhz
archIV_E5M2xE4M3_UE8M0_V8,custom,archIV,E5M2,E4M3,UE8M0,8,500,4115.411987,"CustomOperator_E5M2_to_E4M3_0: 50.5260 (1 inst); CustomOperator_E5M2_to_E4M3_1: 49.8960 (1 inst); CustomOperator_E5M2_to_E4M3_2: 50.2740 (1 inst); CustomOperator_E5M2_to_E4M3_3: 51.0300 (1 inst); CustomOperator_E5M2_to_E4M3_4: 49.1400 (1 inst); CustomOperator_E5M2_to_E4M3_5: 51.0300 (1 inst); CustomOperator_E5M2_to_E4M3_6: 50.7780 (1 inst); CustomOperator_E5M2_to_E4M3_7: 51.2820 (1 inst); FPNAdder: 497.4480 (1 inst); SNPS_CLOCK_GATE: 3.7800 (2 inst)",2.202000e-03,"CustomOperator_E5M2_to_E4M3_0: 1.620e-05 (1 inst); CustomOperator_E5M2_to_E4M3_1: 1.650e-05 (1 inst); CustomOperator_E5M2_to_E4M3_2: 1.570e-05 (1 inst); CustomOperator_E5M2_to_E4M3_3: 1.870e-05 (1 inst); CustomOperator_E5M2_to_E4M3_4: 1.570e-05 (1 inst); CustomOperator_E5M2_to_E4M3_5: 1.830e-05 (1 inst); CustomOperator_E5M2_to_E4M3_6: 1.800e-05 (1 inst); CustomOperator_E5M2_to_E4M3_7: 1.680e-05 (1 inst); FPNAdder: 2.250e-04 (1 inst); SNPS_CLOCK_GATE: 1.535e-06 (2 inst)",1.93,518.1
archIV_E5M2xE5M2_UE8M0_V4,custom,archIV,E5M2,E5M2,UE8M0,4,500,3469.913990,"CustomOperator_E5M2_to_E5M2_0: 48.6360 (1 inst); CustomOperator_E5M2_to_E5M2_1: 53.5500 (1 inst); CustomOperator_E5M2_to_E5M2_2: 46.7460 (1 inst); CustomOperator_E5M2_to_E5M2_3: 48.1320 (1 inst); FPNAdder: 534.8700 (1 inst); SNPS_CLOCK_GATE: 3.7800 (2 inst)",1.582000e-03,"CustomOperator_E5M2_to_E5M2_0: 1.600e-05 (1 inst); CustomOperator_E5M2_to_E5M2_1: 1.610e-05 (1 inst); CustomOperator_E5M2_to_E5M2_2: 1.550e-05 (1 inst); CustomOperator_E5M2_to_E5M2_3: 1.590e-05 (1 inst); FPNAdder: 2.180e-04 (1 inst); SNPS_CLOCK_GATE: 1.717e-06 (2 inst)",1.93,518.1
archIV_E5M2xE5M2_UE8M0_V8,custom,archIV,E5M2,E5M2,UE8M0,8,500,4900.895984,"CustomOperator_E5M2_to_E5M2_0: 47.7540 (1 inst); CustomOperator_E5M2_to_E5M2_1: 45.6120 (1 inst); CustomOperator_E5M2_to_E5M2_2: 46.3680 (1 inst); CustomOperator_E5M2_to_E5M2_3: 46.7460 (1 inst); CustomOperator_E5M2_to_E5M2_4: 46.8720 (1 inst); CustomOperator_E5M2_to_E5M2_5: 45.8640 (1 inst); CustomOperator_E5M2_to_E5M2_6: 45.8640 (1 inst); CustomOperator_E5M2_to_E5M2_7: 46.7460 (1 inst); FPNAdder: 533.3580 (1 inst); SNPS_CLOCK_GATE: 3.7800 (2 inst)",2.595000e-03,"CustomOperator_E5M2_to_E5M2_0: 1.530e-05 (1 inst); CustomOperator_E5M2_to_E5M2_1: 1.460e-05 (1 inst); CustomOperator_E5M2_to_E5M2_2: 1.490e-05 (1 inst); CustomOperator_E5M2_to_E5M2_3: 1.520e-05 (1 inst); CustomOperator_E5M2_to_E5M2_4: 1.490e-05 (1 inst); CustomOperator_E5M2_to_E5M2_5: 1.530e-05 (1 inst); CustomOperator_E5M2_to_E5M2_6: 1.450e-05 (1 inst); CustomOperator_E5M2_to_E5M2_7: 1.610e-05 (1 inst); FPNAdder: 2.420e-04 (1 inst); SNPS_CLOCK_GATE: 1.702e-06 (2 inst)",1.93,518.1
baseline_archII_E2M1xE2M1_UE8M0_V4,baseline,archII,E2M1,E2M1,UE8M0,4,500,978.642000,"CustomOperator_E2M1_to_E2M1_0: 9.4500 (1 inst); CustomOperator_E2M1_to_E2M1_1: 9.7020 (1 inst); CustomOperator_E2M1_to_E2M1_2: 9.0720 (1 inst); CustomOperator_E2M1_to_E2M1_3: 10.0800 (1 inst); DirectToFP14b_E2M1_x_E2M1_UE8M0: 53.5500 (1 inst); FPNAdder: 397.5300 (1 inst); FixedFPTree_exp4_mant4_out4_vec4_range4: 418.1940 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",3.570000e-04,"CustomOperator_E2M1_to_E2M1_0: 3.180e-06 (1 inst); CustomOperator_E2M1_to_E2M1_1: 3.060e-06 (1 inst); CustomOperator_E2M1_to_E2M1_2: 2.820e-06 (1 inst); CustomOperator_E2M1_to_E2M1_3: 3.180e-06 (1 inst); DirectToFP14b_E2M1_x_E2M1_UE8M0: 2.870e-05 (1 inst); FPNAdder: 1.200e-04 (1 inst); FixedFPTree_exp4_mant4_out4_vec4_range4: 1.880e-04 (1 inst); SNPS_CLOCK_GATE: 5.930e-07 (1 inst)",1.93,518.1
baseline_archII_E2M1xE2M3_UE8M0_V4,baseline,archII,E2M1,E2M3,UE8M0,4,500,1112.201999,"CustomOperator_E2M1_to_E2M3_0: 16.5060 (1 inst); CustomOperator_E2M1_to_E2M3_1: 17.2620 (1 inst); CustomOperator_E2M1_to_E2M3_2: 17.2620 (1 inst); CustomOperator_E2M1_to_E2M3_3: 20.4120 (1 inst); DirectToFP14b_E2M1_x_E2M3_UE8M0: 59.9760 (1 inst); FPNAdder: 409.2480 (1 inst); FixedFPTree_exp4_mant6_out6_vec4_range4: 500.7240 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",4.356000e-04,"CustomOperator_E2M1_to_E2M3_0: 5.410e-06 (1 inst); CustomOperator_E2M1_to_E2M3_1: 5.710e-06 (1 inst); CustomOperator_E2M1_to_E2M3_2: 5.540e-06 (1 inst); CustomOperator_E2M1_to_E2M3_3: 6.440e-06 (1 inst); DirectToFP14b_E2M1_x_E2M3_UE8M0: 3.350e-05 (1 inst); FPNAdder: 1.320e-04 (1 inst); FixedFPTree_exp4_mant6_out6_vec4_range4: 2.390e-04 (1 inst); SNPS_CLOCK_GATE: 5.860e-07 (1 inst)",1.93,518.1
baseline_archII_E2M3xE2M3_UE8M0_V4,baseline,archII,E2M3,E2M3,UE8M0,4,500,1264.157997,"CustomOperator_E2M3_to_E2M3_0: 38.0520 (1 inst); CustomOperator_E2M3_to_E2M3_1: 38.0520 (1 inst); CustomOperator_E2M3_to_E2M3_2: 38.4300 (1 inst); CustomOperator_E2M3_to_E2M3_3: 40.4460 (1 inst); DirectToFP14b_E2M3_x_E2M3_UE8M0: 58.7160 (1 inst); FPNAdder: 416.8080 (1 inst); FixedFPTree_exp4_mant8_out8_vec4_range4: 562.8420 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",5.430000e-04,"CustomOperator_E2M3_to_E2M3_0: 1.240e-05 (1 inst); CustomOperator_E2M3_to_E2M3_1: 1.260e-05 (1 inst); CustomOperator_E2M3_to_E2M3_2: 1.280e-05 (1 inst); CustomOperator_E2M3_to_E2M3_3: 1.320e-05 (1 inst); DirectToFP14b_E2M3_x_E2M3_UE8M0: 3.260e-05 (1 inst); FPNAdder: 1.570e-04 (1 inst); FixedFPTree_exp4_mant8_out8_vec4_range4: 2.930e-04 (1 inst); SNPS_CLOCK_GATE: 5.920e-07 (1 inst)",1.93,518.1
baseline_archIII_E3M2xE3M2_UE8M0_V4,baseline,archIII,E3M2,E3M2,UE8M0,4,500,1614.311999,"CustomOperator_E3M2_to_E3M2_0: 31.7520 (1 inst); CustomOperator_E3M2_to_E3M2_1: 34.1460 (1 inst); CustomOperator_E3M2_to_E3M2_2: 38.6820 (1 inst); CustomOperator_E3M2_to_E3M2_3: 36.0360 (1 inst); DirectToFP14b_E3M2_x_E3M2_UE8M0: 61.3620 (1 inst); FPNAdder: 455.8680 (1 inst); FixedFPTree_exp5_mant6_out6_vec4_range12: 885.2760 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",6.672000e-04,"CustomOperator_E3M2_to_E3M2_0: 1.180e-05 (1 inst); CustomOperator_E3M2_to_E3M2_1: 1.280e-05 (1 inst); CustomOperator_E3M2_to_E3M2_2: 1.280e-05 (1 inst); CustomOperator_E3M2_to_E3M2_3: 1.280e-05 (1 inst); DirectToFP14b_E3M2_x_E3M2_UE8M0: 3.380e-05 (1 inst); FPNAdder: 1.560e-04 (1 inst); FixedFPTree_exp5_mant6_out6_vec4_range12: 4.190e-04 (1 inst); SNPS_CLOCK_GATE: 5.940e-07 (1 inst)",1.93,518.1
baseline_archIII_E3M2xE4M3_UE8M0_V4,baseline,archIII,E3M2,E4M3,UE8M0,4,500,2309.328002,"CustomOperator_E3M2_to_E4M3_0: 41.0760 (1 inst); CustomOperator_E3M2_to_E4M3_1: 43.2180 (1 inst); CustomOperator_E3M2_to_E4M3_2: 60.3540 (1 inst); CustomOperator_E3M2_to_E4M3_3: 58.3380 (1 inst); DirectToFP14b_E3M2_x_E4M3_UE8M0: 68.1660 (1 inst); FPNAdder: 522.0180 (1 inst); FixedFPTree_exp6_mant7_out7_vec4_range20: 1441.9440 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",9.773000e-04,"CustomOperator_E3M2_to_E4M3_0: 1.650e-05 (1 inst); CustomOperator_E3M2_to_E4M3_1: 1.830e-05 (1 inst); CustomOperator_E3M2_to_E4M3_2: 2.140e-05 (1 inst); CustomOperator_E3M2_to_E4M3_3: 2.060e-05 (1 inst); DirectToFP14b_E3M2_x_E4M3_UE8M0: 3.700e-05 (1 inst); FPNAdder: 1.930e-04 (1 inst); FixedFPTree_exp6_mant7_out7_vec4_range20: 6.600e-04 (1 inst); SNPS_CLOCK_GATE: 5.940e-07 (1 inst)",1.93,518.1
baseline_archIII_E4M3xE4M3_UE8M0_V4,baseline,archIII,E4M3,E4M3,UE8M0,4,500,2807.532002,"CustomOperator_E4M3_to_E4M3_0: 55.8180 (1 inst); CustomOperator_E4M3_to_E4M3_1: 58.8420 (1 inst); CustomOperator_E4M3_to_E4M3_2: 79.3800 (1 inst); CustomOperator_E4M3_to_E4M3_3: 76.6080 (1 inst); DirectToFP14b_E4M3_x_E4M3_UE8M0: 81.2700 (1 inst); FPNAdder: 500.4720 (1 inst); FixedFPTree_exp6_mant8_out8_vec4_range28: 1880.4240 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",1.254000e-03,"CustomOperator_E4M3_to_E4M3_0: 2.130e-05 (1 inst); CustomOperator_E4M3_to_E4M3_1: 2.260e-05 (1 inst); CustomOperator_E4M3_to_E4M3_2: 2.980e-05 (1 inst); CustomOperator_E4M3_to_E4M3_3: 2.770e-05 (1 inst); DirectToFP14b_E4M3_x_E4M3_UE8M0: 4.760e-05 (1 inst); FPNAdder: 1.990e-04 (1 inst); FixedFPTree_exp6_mant8_out8_vec4_range28: 8.960e-04 (1 inst); SNPS_CLOCK_GATE: 5.920e-07 (1 inst)",1.93,518.1
baseline_archIII_INT8xE4M3_UE8M0_V4,baseline,archIII,INT8,E4M3,UE8M0,4,500,2322.053999,"CustomOperator_INT8_to_E4M3_0: 73.2060 (1 inst); CustomOperator_INT8_to_E4M3_1: 72.8280 (1 inst); CustomOperator_INT8_to_E4M3_2: 76.3560 (1 inst); CustomOperator_INT8_to_E4M3_3: 75.6000 (1 inst); DirectToFP14b_INT8_x_E4M3_UE8M0: 79.5060 (1 inst); FPNAdder: 478.8000 (1 inst); FixedFPTree_exp6_mant11_out11_vec4_range14: 1394.5680 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",1.096000e-03,"CustomOperator_INT8_to_E4M3_0: 3.130e-05 (1 inst); CustomOperator_INT8_to_E4M3_1: 3.070e-05 (1 inst); CustomOperator_INT8_to_E4M3_2: 3.200e-05 (1 inst); CustomOperator_INT8_to_E4M3_3: 3.180e-05 (1 inst); DirectToFP14b_INT8_x_E4M3_UE8M0: 4.650e-05 (1 inst); FPNAdder: 2.050e-04 (1 inst); FixedFPTree_exp6_mant11_out11_vec4_range14: 7.090e-04 (1 inst); SNPS_CLOCK_GATE: 5.910e-07 (1 inst)",1.93,518.1
