net,length_um
accumulator.io_accOut\[7\],245.58
accumulator._0365_,237.18
accumulator._0351_,218.25
accumulator._0349_,214.27
accumulator.io_accOut\[6\],196.435
accumulator._0348_,190.28
accumulator._0092_,187.265
accumulator._0352_,186.6
accumulator.io_accOut\[5\],183.625
accumulator.io_accOut\[4\],168.755
accumulator._0120_,153.35
accumulator.io_accOut\[2\],149.325
net60,147.56
net92,144.8
accumulator.io_accOut\[3\],144.305
accumulator._0367_,142.18
accumulator._0816_,141.54
accumulator.io_accOut\[1\],141.435
scaleAdd._239_,140.705
accumulator._1119_,140.32
accumulator.io_accOut\[8\],137.85
accumulator._0455_,133.46
net55,131.36
accumulator.io_accOut\[0\],129.905
operator.io_outMant\[4\],129.7
scaleAdd._248_,129.575
accumulator._0358_,127.88
accumulator._0534_,126.68
accumulator._0364_,126.62
accumulator._0472_,125.58
accumulator._1014_,124.26
accumulator._1120_,123.58
accumulator._0362_,121.69
scaleAdd._009_,121.48
net59,119.64
accumulator._0446_,117.09
net31,116.48
accumulator._0844_,114.88
operator.io_outMant\[5\],114.36
accumulator._0815_,114.33
accumulator._0490_,113.88
net102,113.38
net38,113.04
accumulator._0400_,112.8
accumulator._0740_,112.44
accumulator._0356_,112.3
accumulator._0402_,111.94
accumulator.io_accOut\[13\],111.02
net32,110.68
net36,110.68
operator.io_outMant\[3\],110.45
net30,110.28
accumulator._0354_,110.2
accumulator._0411_,109.29
accumulator.io_accOut\[19\],108.88
net63,108.56
accumulator._1137_,108.34
accumulator._0512_,108.22
accumulator._0413_,107.96
accumulator._0350_,107.54
accumulator._0493_,106.67
accumulator._1032_,106.46
accumulator._0389_,106.09
accumulator.io_accOut\[15\],104.5
accumulator._0396_,103.96
accumulator._0447_,103.1
accumulator._0581_,102.89
accumulator._0450_,102.46
accumulator._0946_,101.65
accumulator._0749_,101.26
net34,100.56
accumulator._0376_,100.5
clknet_2_2__leaf_clock,99.66
accumulator._0903_,99.26
accumulator._0949_,98.8
accumulator._1033_,98.14
accumulator._0721_,98.06
net35,98.04
accumulator._0814_,97.84
accumulator._0395_,96.42
accumulator.io_accOut\[21\],96.28
scaleAdd._014_,95.555
net42,95.18
net57,94.66
accumulator._0357_,94.38
scaleAdd._262_,94.04
accumulator._0942_,93.82
net40,93.36
accumulator._0393_,93.025
accumulator._0440_,92.84
accumulator._0053_,92.44
accumulator._0353_,92.39
accumulator._1097_,92.14
accumulator.io_accOut\[18\],91.715
accumulator._0470_,91.52
clknet_2_3__leaf_clock,91.38
accumulator._0741_,91.25
accumulator._0373_,90.58
accumulator._0397_,90.32
accumulator._0285_,90.005
accumulator.io_accOut\[17\],89.94
accumulator._0343_,89.6
accumulator._0964_,89.6
net12,89.36
accumulator._0851_,89.02
net37,88.52
accumulator._0839_,87.71
accumulator._0454_,87.68
accumulator._0502_,87.4
net56,86.72
net13,86.46
accumulator._0347_,86.205
accumulator._0473_,86.135
operator.io_outMant\[1\],86.08
net29,85.82
accumulator._0394_,85.16
accumulator.io_inMant\[0\],84.775
accumulator._0322_,84.04
net51,84
accumulator.io_accOut\[20\],83.425
accumulator._0439_,83.2
net6,82.78
net54,82.62
accumulator._0654_,82.58
accumulator.io_inExp\[1\],82.54
accumulator._0366_,82.445
accumulator._0449_,82.07
accumulator._0345_,81.48
accumulator.io_inExp\[0\],81.24
operator.io_outMant\[2\],81.04
