net,length_um
accumulator._0392_,53.88
accumulator._0711_,53.88
accumulator.io_inExp\[2\],53.82
accumulator.io_accOut\[29\],53.68
accumulator.io_accOut\[23\],53.66
accumulator._0598_,53.18
accumulator._1092_,53.18
accumulator._1010_,52.59
accumulator._1031_,52.32
net3,52.31
scaleAdd._350_,52.28
scaleAdd._085_,52.16
accumulator._0978_,51.92
net72,51.76
accumulator._0700_,51.6
accumulator._0101_,51.48
accumulator._0570_,51.34
accumulator.io_accOut\[1\],51.34
accumulator._1072_,51.22
accumulator._0048_,51.16
accumulator._1197_,51.09
accumulator._0149_,50.98
accumulator._0705_,50.88
accumulator._0773_,50.86
accumulator._0435_,50.78
accumulator._0165_,50.02
accumulator.io_accOut\[10\],49.94
accumulator._0434_,49.78
net69,49.62
scaleAdd._317_,49.16
accumulator._0704_,48.56
accumulator._0920_,48.48
net70,48.475
accumulator._0053_,48.26
accumulator._0763_,48.16
accumulator._1002_,47.86
accumulator._0750_,47.46
net6,47.44
accumulator._0880_,47.2
accumulator._0914_,47.14
scaleAdd._014_,46.78
accumulator._0120_,46.74
net1,46.66
accumulator._0155_,46.62
accumulator._0667_,46.5
accumulator._0344_,46.48
accumulator.io_inExp\[3\],46.22
scaleAdd._201_,45.99
net79,45.72
scaleAdd._025_,45.62
accumulator._0447_,45.56
net7,45.5
scaleAdd._077_,45.46
scaleAdd._248_,45.44
scaleAdd._309_,45.44
scaleAdd._227_,45.2
accumulator._0182_,45
accumulator._0684_,44.88
net32,44.76
accumulator._0944_,44.68
accumulator._1135_,44.5
accumulator._1096_,44.38
net17,44.3
accumulator._1056_,44.18
accumulator._0562_,44
net26,43.78
accumulator._0857_,43.6
accumulator._0969_,43.6
accumulator._0531_,43.52
scaleAdd._002_,43.25
accumulator.io_accOut\[25\],43.16
accumulator._0151_,43.08
accumulator._0467_,43.08
accumulator._0216_,42.98
accumulator._0116_,42.84
accumulator._0876_,42.82
net2,42.8
accumulator._0585_,42.775
scaleAdd._322_,42.76
accumulator._0090_,42.74
net18,42.54
accumulator._0557_,42.53
accumulator.io_inMant\[4\],42.52
accumulator._0224_,42.5
accumulator._0564_,42.5
accumulator.io_inMant\[14\],42.36
